dateff,rf
19790731,0.00770
19790831,0.00770
19790928,0.00830
19791031,0.00870
19791130,0.00990
19791231,0.00950
19800131,0.00800
19800229,0.00890
19800331,0.01210
19800430,0.01260
19800530,0.00810
19800630,0.00610
19800731,0.00530
19800829,0.00640
19800930,0.00750
19801031,0.00950
19801128,0.00960
19801231,0.01310
19810130,0.01040
19810227,0.01070
19810331,0.01210
19810430,0.01080
19810529,0.01150
19810630,0.01350
19810731,0.01240
19810831,0.01280
19810930,0.01240
19811030,0.01210
19811130,0.01070
19811231,0.00870
19820129,0.00800
19820226,0.00920
19820331,0.00980
19820430,0.01130
19820528,0.01060
19820630,0.00960
19820730,0.01050
19820831,0.00760
19820930,0.00510
19821029,0.00590
19821130,0.00630
19821231,0.00670
19830131,0.00690
19830228,0.00620
19830331,0.00630
19830429,0.00710
19830531,0.00690
19830630,0.00670
19830729,0.00740
19830831,0.00760
19830930,0.00760
19831031,0.00760
19831130,0.00700
19831230,0.00730
19840131,0.00760
19840229,0.00710
19840330,0.00730
19840430,0.00810
19840531,0.00780
19840629,0.00750
19840731,0.00820
19840831,0.00830
19840928,0.00860
19841031,0.01000
19841130,0.00730
19841231,0.00640
19850131,0.00650
19850228,0.00580
19850329,0.00620
19850430,0.00720
19850531,0.00660
19850628,0.00550
19850731,0.00620
19850830,0.00550
19850930,0.00600
19851031,0.00650
19851129,0.00610
19851231,0.00650
19860131,0.00560
19860228,0.00530
19860331,0.00600
19860430,0.00520
19860530,0.00490
19860630,0.00520
19860731,0.00520
19860829,0.00460
19860930,0.00450
19861031,0.00460
19861128,0.00390
19861231,0.00490
19870130,0.00420
19870227,0.00430
19870331,0.00470
19870430,0.00440
19870529,0.00380
19870630,0.00480
19870731,0.00460
19870831,0.00470
19870930,0.00450
19871030,0.00600
19871130,0.00350
19871231,0.00390
19880129,0.00290
19880229,0.00460
19880331,0.00440
19880429,0.00460
19880531,0.00510
19880630,0.00490
19880729,0.00510
19880831,0.00590
19880930,0.00620
19881031,0.00610
19881130,0.00570
19881230,0.00630
19890131,0.00550
19890228,0.00610
19890331,0.00670
19890428,0.00670
19890531,0.00790
19890630,0.00710
19890731,0.00700
19890831,0.00740
19890929,0.00650
19891031,0.00680
19891130,0.00690
19891229,0.00610
19900131,0.00570
19900228,0.00570
19900330,0.00640
19900430,0.00690
19900531,0.00680
19900629,0.00630
19900731,0.00680
19900831,0.00660
19900928,0.00600
19901031,0.00680
19901130,0.00570
19901231,0.00600
19910131,0.00520
19910228,0.00480
19910328,0.00440
19910430,0.00530
19910531,0.00470
19910628,0.00420
19910731,0.00490
19910830,0.00460
19910930,0.00460
19911031,0.00420
